vendor,invoice_number,invoice_date,amount,status
GORDON FOOD SERVICE,9034045849,2026-04-03,3396.39,extracted
GORDON FOOD SERVICE,9033908087,2026-03-31,2890.25,extracted
BreakThru,0126311463,2026-03-31,495.75,extracted
GORDON FOOD SERVICE,9033828763,2026-03-29,42.33,extracted
Windy City,100977653,2026-03-27,470.36,extracted
Euclid Bev,W-4596748,2026-03-27,245.00,extracted
GORDON FOOD SERVICE,9033798873,2026-03-27,4339.38,extracted
BreakThru,0126295067,2026-03-27,207.00,extracted
Southern Glazers,02234883,2026-03-25,500.03,extracted
GORDON FOOD SERVICE,9033652600,2026-03-24,2866.09,extracted
Lakeshore Beverage,102820,2026-03-23,201.20,extracted
Euclid Bev,W-4589421,2026-03-20,939.35,extracted
GORDON FOOD SERVICE,9033545641,2026-03-20,3874.62,extracted
Windy City,100971419,2026-03-20,325.60,extracted
Southern Glazers,02225449,2026-03-18,1009.17,extracted
BreakThru,0414591050,2026-03-18,27.03,extracted
BreakThru,0126094414,2026-03-17,1032.00,extracted
GORDON FOOD SERVICE,9033294489,2026-03-13,4270.83,extracted
Elgin Beverage,1118294,2026-03-13,101.20,extracted
Euclid Bev,W-4582148,2026-03-13,479.80,extracted
GORDON FOOD SERVICE,9033147826,2026-03-10,986.36,extracted
Lakeshore Beverage,576735,2026-03-09,253.10,extracted
