"recipe_name","recipe_group","status","menu_price","food_cost","food_cost_pct"
"Bell's Two Hearted","Bottled Beer","COMPLETE","$7.00","$1.53","21.9%"
"STEAK TORTA","MAIN MENU","DRAFT","$18.00","$7.38","40.98%"
"$5 Modelo","Draft Beer","COMPLETE","$5.00","$1.49","29.79%"
"Bucket","Bottled Beer","COMPLETE","$15.00","$0.00",""
"TACO TRIO","FOOD","DRAFT","$19.00","$0.00",""
"Flautas","Appetizers","DRAFT","$13.00","$52.00","400.03%"
"Fish and Chips","MAIN MENU","COMPLETE","$19.00","$6.70","35.28%"
"Hale St. Marg","BEVERAGES","COMPLETE","$10.00","$1.12","11.15%"
"FROZEN Marg","LIQUOR","COMPLETE","$6.00","$1.63","27.11%"
"FROZEN Marg","BEVERAGES","DRAFT","$6.00","$0.00",""
"AL PASTOR TACO","Tacos","DRAFT","$16.00","$1.28","8%"
"Birria Flautas","Appetizers","DRAFT","$13.00","$54.44","418.74%"
"Manquito Picante","Cocktails","DRAFT","N/A","$0.53",""
"Bombay Sapphire Martini","LIQUOR","COMPLETE","$14.25","$2.84","19.92%"
"Bombay Sapphire","LIQUOR","COMPLETE","$10.00","$1.42","14.2%"
"Bombay Sapphire Neat","LIQUOR","COMPLETE","$11.21","$1.89","16.88%"
"Bombay Sapphire Double","LIQUOR","COMPLETE","$12.35","$2.36","19.16%"
"Well Whiskey","LIQUOR","COMPLETE","$8.00","$0.00",""
"Well Whiskey Neat","LIQUOR","COMPLETE","$9.44","$0.00",""
"Well Whiskey Martini","LIQUOR","COMPLETE","$12.00","$0.00",""
"Well Rum Neat","LIQUOR","COMPLETE","$9.15","$0.50","5.49%"
"Well Rum Martini","LIQUOR","COMPLETE","$11.63","$0.75","6.48%"
"Angry Orchard","Bottled Beer","COMPLETE","$6.50","$1.48","22.85%"
"Salsa Verde","Salsa","DRAFT","N/A","$24.66",""
"Patron Silver Martini","LIQUOR","COMPLETE","$16.50","$4.44","26.91%"
"Patron Silver Neat","LIQUOR","COMPLETE","$12.98","$2.96","22.81%"
"Patron Silver Double","LIQUOR","COMPLETE","$14.30","$3.70","25.88%"
"Patron Silver","LIQUOR","COMPLETE","$11.00","$2.22","20.18%"
"Rumple Minze Double","LIQUOR","COMPLETE","$11.05","$2.19","19.85%"
"Rumpleminz Shot","LIQUOR","COMPLETE","$8.50","$1.64","19.36%"
"Yellow Red Bull","BEVERAGES","COMPLETE","$4.00","$1.76","44.01%"
"Budweiser","Bottled Beer","COMPLETE","$4.50","$1.03","22.87%"
"Cupid's Cantina","Monthly Cocktails","COMPLETE","$14.00","$2.05","14.62%"
"Dos XX Amber","Bottled Beer","COMPLETE","$5.50","$1.34","24.39%"
"Three Floyd's Gumball Head","Draft Beer","COMPLETE","$7.00","$0.10","1.38%"
"Avissi Prosecco Split","Wine","COMPLETE","$12.00","$4.00","33.33%"
"Whispering Angel Rose","Wine","COMPLETE","$12.00","$4.62","38.54%"
"Island Breeze Sangria","Monthly Cocktails","COMPLETE","$12.00","$2.38","19.82%"
"Miller Lite Draft","Draft Beer","COMPLETE","$4.50","$1.02","22.76%"
"Pacifico","Draft Beer","DRAFT","$4.00","$1.46","36.49%"
"Cardiac Bears","LIQUOR","COMPLETE","$6.00","$1.63","27.14%"
"Flour Dredge","Rubs and Sauces","COMPLETE","N/A","$19.41",""
"House Sazon","Rubs and Sauces","DRAFT","N/A","$42.41",""
"Pineapple Pico","Prep","COMPLETE","N/A","$12.01",""
"Chipotle Cream","Rubs and Sauces","COMPLETE","N/A","$8.07",""
"Frozen Margarita Mix","LIQUOR","COMPLETE","N/A","$89.37",""
"Avocado Cream","Rubs and Sauces","COMPLETE","N/A","$29.38",""
"Beer Batter","Prep","COMPLETE","N/A","$2.07",""
"Beef Taco Seasoning","Tacos","COMPLETE","N/A","$43.55",""
"Blackberry Buzz","Monthly Cocktails","COMPLETE","$14.00","$1.73","12.38%"
"Corona N\A","Bottled Beer","COMPLETE","$6.00","$1.46","24.3%"
"White Claw Mango","Bottled Beer","COMPLETE","$6.50","$1.44","22.12%"
"Yuengling","Draft Beer","COMPLETE","$5.50","$1.07","19.5%"
