"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Hale Street Cantina - Wheaton","Bell's Two Hearted","Complete","Bottled Beer","Recipe","1.53333333333333","21.90476190476186","0","0","7","100","78.09523809523814","1.53333333333333","21.9","04/05/2026 00:40:05","","","","","","1","each","1.53333333333333"
"Hale Street Cantina - Wheaton","STEAK TORTA","Draft","MAIN MENU","Recipe","7.375872157528255","40.97706754182364","0","0","18","100","59.022932458176356","7.375872157528255","40.98","03/28/2026 19:00:14","","","","","","1","each","7.375872157528255"
"Hale Street Cantina - Wheaton","$5 Modelo","Complete","Draft Beer","Recipe","1.48946675444561","29.7893350889122","0","0","5","100","70.21066491108779","1.48946675444561","29.79","03/19/2026 18:19:16","","","","","","1","each","1.48946675444561"
"Hale Street Cantina - Wheaton","Bucket","Complete","Bottled Beer","Recipe","0","0","0","0","15","100","0","0","0","03/19/2026 18:07:08","","","","","","5","each","0"
"Hale Street Cantina - Wheaton","TACO TRIO","Draft","FOOD","Recipe","0","0","0","0","19","100","0","0","0","03/18/2026 16:00:46","","","","","","","","0"
"Hale Street Cantina - Wheaton","Flautas","Draft","Appetizers","Recipe","52.004400000000004","400.0338461538462","0","0","13","100","-300.0338461538462","52.004400000000004","400.03","03/04/2026 21:15:32","","","","","","4","each","13.001100000000001"
"Hale Street Cantina - Wheaton","Fish and Chips","Complete","MAIN MENU","Recipe","6.703745256285318","35.282869769922726","0","0","19","100","64.71713023007727","6.703745256285318","35.28","03/01/2026 02:08:11","","","","","","1","each","6.703745256285318"
"Hale Street Cantina - Wheaton","Hale St. Marg","Complete","BEVERAGES","Recipe","1.1151646397648634","11.151646397648634","0","0","10","100","88.84835360235137","1.1151646397648634","11.15","02/27/2026 23:21:06","1","Weeks","","","","1","each","1.1151646397648634"
"Hale Street Cantina - Wheaton","FROZEN Marg","Complete","LIQUOR","Recipe","1.6263923749362235","27.10653958227039","0","0","6","100","72.8934604177296","1.6263923749362235","27.11","02/25/2026 23:59:36","4","Days","","","","8","fl oz","0.20329904686702793"
"Hale Street Cantina - Wheaton","FROZEN Marg","Draft","BEVERAGES","Recipe","0","0","0","0","6","100","0","0","0","02/25/2026 23:59:36","","","","","","","","0"
"Hale Street Cantina - Wheaton","AL PASTOR TACO","Draft","Tacos","Recipe","1.280625","8.00390625","0","0","16","100","91.99609375","1.280625","8","02/18/2026 03:26:43","","","","","","3","count","0.42687499999999995"
