recipe_name,recipe_group,status,menu_price,food_cost,food_cost_pct
Chicken Salad Sandwich,Food,COMPLETE,--,$4.24,
Chicken Salad Mix,Food,COMPLETE,N/A,$2.76,
Cobb Salad,Food,COMPLETE,--,$5.30,
Teriyaki Burger,--,COMPLETE,--,$1.12,
Blind Corner Glass Morning Static,Draft Beer,COMPLETE,--,$2.53,
1911 Cherry Cider,Draft Beer,COMPLETE,--,$1.62,
Maplewood Crushinator,Draft Beer,COMPLETE,--,$1.53,
Sierra Nevada Hazy Little thing,Draft Beer,COMPLETE,$7.50,$1.58,21.08%
POS ID: --,Draft Beer,DRAFT,--,$1.45,
Bucket,CannedBottle Beer,COMPLETE,$15.00,$0.00,
Modelo Draft,Draft Beer,COMPLETE,$5.00,$1.45,29.03%
Blackened Chicken Sliders,Food,COMPLETE,$16.00,$3.46,21.62%
Triple Cheese Quesadilla,Food,COMPLETE,$11.00,$1.66,15.11%
Spinach Artichoke Dip,Food,COMPLETE,$13.00,$3.30,25.4%
Chicken Wings,Food,COMPLETE,$14.00,$1.04,7.47%
2 Brothers Domain Dupage,Draft Beer,COMPLETE,$7.50,$2.23,29.72%
Revolution Freedom Of Speech,Draft Beer,COMPLETE,$7.00,$1.58,22.58%
Buckledown Good Times,Draft Beer,COMPLETE,$7.50,$1.94,25.84%
Hugo Spritz,COCKTAILS,COMPLETE,--,$3.29,
Pub Nachos,Food,DRAFT,--,$2.87,
Maplewood Double Charlatan,Draft Beer,DRAFT,--,$0.00,
Jack Rye Neat,LIQUOR,COMPLETE,$10.75,$0.00,
3 Floyds Deluxe Lager,Draft Beer,COMPLETE,--,$1.26,
Alaskan Amber,Draft Beer,COMPLETE,--,$1.40,
Blind Corner Taper,Draft Beer,COMPLETE,--,$1.40,
Blind Corner Moon Cloak,Draft Beer,DRAFT,--,$1.97,
Blind Corner Smell The Roses,--,DRAFT,--,$0.00,
Solemn Oath Snaggletooth Bandana,Draft Beer,COMPLETE,$7.50,$1.85,24.73%
Miller Lite Draft,--,DRAFT,--,$1.00,
Pollyanna Blackberry,Draft Beer,DRAFT,--,$0.00,
93 Octane Tailgate,Draft Beer,COMPLETE,--,$2.06,
Art History MInor,Draft Beer,COMPLETE,$7.50,$2.30,30.68%
Solemn Oath Cold Black Night,--,COMPLETE,$7.50,$2.45,32.62%
Lagunitas Hazy IPA,Draft Beer,COMPLETE,$7.50,$1.53,20.43%
Strawberry Mojito,COCKTAILS,COMPLETE,--,$1.93,
Three Floyd's Zombie Dust,Draft Beer,COMPLETE,$7.50,$1.70,22.69%
Dovetail Pilsner,Draft Beer,COMPLETE,--,$1.60,
Don Julio Blanco Double,LIQUOR,COMPLETE,$15.60,$3.85,24.66%
