"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Jackson Ave Pub - Naperville","Chicken Salad Sandwich ","Complete","Food","Recipe","4.239936654447079","0","0","0","0","100","0","4.239936654447079","0","04/06/2026 18:08:40","","","","","","1","","4.239936654447079"
"Jackson Ave Pub - Naperville","Chicken Salad Mix","Complete","Food","PrepRecipe","2.7621137377804104","0","0","0","0","100","0","2.7621137377804104","0","04/06/2026 14:51:23","","","5","oz","","1","","0.5524227475560821"
"Jackson Ave Pub - Naperville","Cobb Salad","Complete","Food","Recipe","5.304112203648552","0","0","0","0","100","0","5.304112203648552","0","04/06/2026 14:49:06","","","","","","1","","5.304112203648552"
"Jackson Ave Pub - Naperville","Teriyaki Burger","Complete","","Recipe","1.1187146701389998","0","0","0","0","100","0","1.1187146701389998","0","04/06/2026 14:48:09","","","","","","1","","1.1187146701389998"
"Jackson Ave Pub - Naperville","Blind Corner Glass Morning Static","Complete","Draft Beer ","Recipe","2.52609107091998","0","0","0","0","100","0","2.52609107091998","0","04/06/2026 14:46:28","","","","","","1","","2.52609107091998"
"Jackson Ave Pub - Naperville","1911 Cherry Cider","Complete","Draft Beer ","Recipe","1.61700581395554","0","0","0","0","100","0","1.61700581395554","0","04/06/2026 14:45:09","","","","","","1","","1.61700581395554"
"Jackson Ave Pub - Naperville","Maplewood Crushinator","Complete","Draft Beer ","Recipe","1.53427419355034","0","0","0","0","100","0","1.53427419355034","0","04/05/2026 16:49:22","","","","","","1","","1.53427419355034"
"Jackson Ave Pub - Naperville","Sierra Nevada Hazy Little thing","Complete","Draft Beer ","Recipe","1.58064516129233","21.075268817231066","0","0","7.5","100","78.92473118276892","1.58064516129233","21.08","04/05/2026 16:46:15","","","","","","1","each","1.58064516129233"
"Jackson Ave Pub - Naperville","","Draft","Draft Beer ","Recipe","1.45161290322765","0","0","0","0","100","0","1.45161290322765","0","03/19/2026 18:17:15","","","","","","1","","1.45161290322765"
"Jackson Ave Pub - Naperville","Bucket","Complete","CannedBottle Beer","Recipe","0","0","0","0","15","100","0","0","0","03/19/2026 17:57:46","","","","","","1","","0"
"Jackson Ave Pub - Naperville","Modelo Draft","Complete","Draft Beer ","Recipe","1.45161290322765","29.032258064552995","0","0","5","100","70.96774193544701","1.45161290322765","29.03","03/17/2026 18:44:11","","","","","","1","","1.45161290322765"
"Jackson Ave Pub - Naperville","Blackened Chicken Sliders","Complete","Food","Recipe","3.460062890625217","21.625393066407604","0","0","16","100","78.37460693359239","3.460062890625217","21.63","03/17/2026 01:52:43","","","","","","1","each","3.460062890625217"
"Jackson Ave Pub - Naperville","Triple Cheese Quesadilla","Complete","Food","Recipe","1.6619728729620655","15.108844299655141","0","0","11","100","84.89115570034485","1.6619728729620655","15.11","03/17/2026 01:49:28","","","","","","1","each","1.6619728729620655"
"Jackson Ave Pub - Naperville","Spinach Artichoke Dip","Complete","Food","Recipe","3.3024946811883127","25.4038052399101","0","0","13","100","74.5961947600899","3.3024946811883127","25.4","03/17/2026 01:34:56","1","Weeks","","","","1","","3.3024946811883127"
"Jackson Ave Pub - Naperville","Chicken Wings","Complete","Food","Recipe","1.04578125","7.469866071428573","0","0","14","100","92.53013392857142","1.04578125","7.47","03/17/2026 01:34:56","4","Days","","","","1","each","1.04578125"
"Jackson Ave Pub - Naperville","2 Brothers Domain Dupage ","Complete","Draft Beer ","Recipe","2.22868217054547","29.7157622739396","0","0","7.5","100","70.2842377260604","2.22868217054547","29.72","03/16/2026 15:21:22","","","","","","1","","2.22868217054547"
"Jackson Ave Pub - Naperville","Revolution Freedom Of Speech ","Complete","Draft Beer ","Recipe","1.58088235294319","22.58403361347414","0","0","7","100","77.41596638652585","1.58088235294319","22.58","03/16/2026 15:20:13","","","","","","1","","1.58088235294319"
"Jackson Ave Pub - Naperville","Buckledown Good Times","Complete","Draft Beer ","Recipe","1.9379844961265","25.839793281686667","0","0","7.5","100","74.16020671831333","1.9379844961265","25.84","03/16/2026 15:18:47","","","","","","1","","1.9379844961265"
"Jackson Ave Pub - Naperville","Hugo Spritz ","Complete","COCKTAILS","Recipe","3.288913688686134","0","0","0","0","100","0","3.288913688686134","0","03/13/2026 22:50:08","","","","","","1","","3.288913688686134"
"Jackson Ave Pub - Naperville","Pub Nachos ","Draft","Food","Recipe","2.87064699766314","0","0","0","0","100","0","2.87064699766314","0","03/09/2026 19:31:54","","","","","","1","","2.87064699766314"
"Jackson Ave Pub - Naperville","Maplewood Double Charlatan","Draft","Draft Beer ","Recipe","0","0","0","0","0","100","0","0","0","03/09/2026 17:45:31","","","","","","1","","0"
"Jackson Ave Pub - Naperville","Jack Rye Neat","Complete","LIQUOR","Recipe","0","0","0","0","10.75","100","0","0","0","03/06/2026 04:11:33","","","","","","1","each","0"
"Jackson Ave Pub - Naperville","3 Floyds Deluxe Lager","Complete","Draft Beer ","Recipe","1.25806451613063","0","0","0","0","100","0","1.25806451613063","0","03/06/2026 02:48:58","","","","","","1","each","1.25806451613063"
"Jackson Ave Pub - Naperville","Alaskan Amber","Complete","Draft Beer ","Recipe","1.39516129032435","0","0","0","0","100","0","1.39516129032435","0","03/02/2026 21:41:26","","","","","","1","","1.39516129032435"
"Jackson Ave Pub - Naperville","Blind Corner Taper","Complete","Draft Beer ","Recipe","1.4032258064534","0","0","0","0","100","0","1.4032258064534","0","03/02/2026 21:34:25","","","","","","1","","1.4032258064534"
"Jackson Ave Pub - Naperville","Blind Corner Moon Cloak","Draft","Draft Beer ","Recipe","1.96774192716922","0","0","0","0","100","0","1.96774192716922","0","03/02/2026 21:33:42","","","","","","1","","1.96774192716922"
"Jackson Ave Pub - Naperville","Blind Corner Smell The Roses","Draft","","Recipe","0","0","0","0","0","100","0","0","0","03/02/2026 21:32:53","","","","","","1","","0"
"Jackson Ave Pub - Naperville","Solemn Oath Snaggletooth Bandana","Complete","Draft Beer ","Recipe","1.85483870967978","24.7311827957304","0","0","7.5","100","75.2688172042696","1.85483870967978","24.73","03/02/2026 21:01:50","","","","","","1","","1.85483870967978"
"Jackson Ave Pub - Naperville","Miller Lite Draft","Draft","","Recipe","1.00000000000127","0","0","0","0","100","0","1.00000000000127","0","03/02/2026 16:21:44","","","","","","1","","1.00000000000127"
"Jackson Ave Pub - Naperville","Pollyanna Blackberry","Draft","Draft Beer ","Recipe","0","0","0","0","0","100","0","0","0","03/02/2026 16:20:11","","","","","","1","","0"
"Jackson Ave Pub - Naperville","93 Octane Tailgate","Complete","Draft Beer ","Recipe","2.0591085271344","0","0","0","0","100","0","2.0591085271344","0","03/02/2026 16:17:28","","","","","","16","fl oz","0.1286942829459"
"Jackson Ave Pub - Naperville","Art History MInor ","Complete","Draft Beer ","Recipe","2.30135658915021","30.684754522002798","0","0","7.5","100","69.3152454779972","2.30135658915021","30.68","03/02/2026 16:15:56","","","","","","1","","2.30135658915021"
"Jackson Ave Pub - Naperville","Solemn Oath Cold Black Night","Complete","","Recipe","2.4467054263597","32.62273901812934","0","0","7.5","100","67.37726098187066","2.4467054263597","32.62","03/02/2026 16:13:59","","","","","","1","","2.4467054263597"
"Jackson Ave Pub - Naperville","Lagunitas Hazy IPA","Complete","Draft Beer ","Recipe","1.53225806451808","20.430107526907733","0","0","7.5","100","79.56989247309227","1.53225806451808","20.43","03/02/2026 16:13:19","","","","","","1","","1.53225806451808"
