"recipe_name","recipe_group","status","menu_price","food_cost","food_cost_pct"
"Founders Easy Drinking Beer","Draft Beer","COMPLETE","$4.50","$1.05","23.3%"
"Bells Oberon Light","Draft Beer","COMPLETE","$6.00","$1.58","26.34%"
"Garage Beer Classic Lime","Draft Beer","COMPLETE","$4.50","$1.08","24.04%"
"Half Acre Reef Knot","Draft Beer","COMPLETE","$6.50","$1.58","24.32%"
"Blind Corner Low Orbit Silence","Draft Beer","COMPLETE","$7.50","$1.88","25%"
"Goose Island 312","Draft Beer","COMPLETE","$6.00","$1.57","26.21%"
"Modelo Draft","Draft Beer","COMPLETE","$6.50","$1.55","23.89%"
"Cobb Salad","Salads","COMPLETE","$18.00","$3.10","17.22%"
"Onion Rings","Appetizers","COMPLETE","$11.00","$0.32","2.87%"
"93 Octane Out Cold","Draft Beer","COMPLETE","$4.00","$1.61","40.32%"
"Don Julio Reposado","Liquor","COMPLETE","$6.00","$2.82","46.99%"
"Alter Mosaic Motive","Draft Beer","COMPLETE","$6.50","$1.49","22.95%"
"Half Acre Slow Melt","Draft Beer","COMPLETE","$7.00","$1.60","22.93%"
"Alaskan Amber","Draft Beer","COMPLETE","$7.00","$1.49","21.31%"
"Church Street Righteous Red","Draft Beer","COMPLETE","$7.00","$1.56","22.24%"
"Church Street Lil Lucy","Draft Beer","COMPLETE","$8.00","$1.69","21.17%"
"3 Floyd's Turbo Reaper","Draft Beer","COMPLETE","$7.00","$1.58","22.58%"
"Ciderboys Cherry Limeade","Draft Beer","COMPLETE","$6.00","$1.40","23.39%"
"Alter Ambigram","Draft Beer","COMPLETE","$7.00","$1.60","22.93%"
"Kona Big Wave","Draft Beer","COMPLETE","$6.00","$1.45","24.18%"
"$5 Modelo","Draft Beer","COMPLETE","$5.00","$1.55","31.06%"
"Slam Dunk Sampler","Appetizers","COMPLETE","$19.00","$3.87","20.35%"
"Overtime Nachos","Appetizers","COMPLETE","$14.00","$4.91","35.06%"
"Cecillio's Cheese Sauce","Sauces - Warm","COMPLETE","N/A","$1.58",""
"Pico de Gallo","Sauces - Cold","COMPLETE","N/A","$8.94",""
"Generations Pretzel City Amber","Draft Beer","COMPLETE","$5.00","$1.49","29.84%"
"Southside Gin Seltzer","Bottle Beer","COMPLETE","$9.00","$3.00","33.33%"
"Goose Island Full Pocket Pils","Draft Beer","COMPLETE","$6.00","$1.64","27.42%"
"Point Amber Lager","Draft Beer","COMPLETE","$5.00","$0.89","17.74%"
"Magners Cider","Draft Beer","COMPLETE","$7.00","$1.77","25.34%"
"Jameson and Ginger RTD","Bottle Beer","COMPLETE","$9.00","$2.42","26.9%"
"Go Brewing Sunshine State Tropical Ipa Can","Bottle Beer","COMPLETE","$7.50","$1.53","20.43%"
"Pork Carnitas","Appetizers","DRAFT","--","$1.43",""
"Shrimp Caesar Wrap","Wraps","COMPLETE","$17.00","$3.36","19.76%"
"Chicken Pot Pie Soup","Soup","COMPLETE","--","$1.49",""
"Michelob Ultra Draft","Draft Beer","COMPLETE","$5.00","$1.18","23.53%"
"Sapporo","Draft Beer","COMPLETE","--","$1.25",""
"Founders Breakfast Stout","Draft Beer","COMPLETE","--","$1.00",""
"Italian Pasta Salad","Sides","COMPLETE","$5.00","$1.41","28.13%"
"French Dip Sandwich","Not Burgers","COMPLETE","$18.00","$4.42","24.53%"
"White Tea","Shots","COMPLETE","--","$0.45",""
"Guinness 0.0","Bottle Beer","COMPLETE","$7.00","$1.79","25.6%"
"Graffigna Malbec","Wine","COMPLETE","$5.00","$1.77","35.43%"
"Meiomi Pinot Noir","Wine","COMPLETE","$15.00","$2.84","18.93%"
"Locations Sauvignon Blanc","Wine","COMPLETE","$11.00","$2.60","23.66%"
"Prisoner Red Blend","Wine","COMPLETE","$18.00","$5.93","32.94%"
"House Fries (3rd Party)","Sides","COMPLETE","$5.00","$0.17","3.41%"
"Truffle Parmesan Fries (3rd Party)","Sides","COMPLETE","$7.00","$3.22","46.02%"
"Cajun Fries (3rd Party)","Sides","COMPLETE","$5.00","$2.04","40.81%"
"Chateau St. Sulpice Bordeaux","Wine","COMPLETE","$12.00","$2.83","23.62%"
"H3 Cabernet","Wine","COMPLETE","$11.00","$2.12","19.33%"
"Joel Gott 815 Cabernet","Wine","COMPLETE","$13.00","$2.48","19.08%"
"Layer Cake Malbec","Wine","COMPLETE","$12.00","$2.72","22.64%"
"Unshackled Red Blend","Wine","COMPLETE","$14.00","$2.83","20.25%"
"Chalk Hill Chardonnay","Wine","COMPLETE","$12.00","$2.83","23.62%"
"Barone Fini Pinot Grigio","Wine","COMPLETE","$10.00","$2.24","22.44%"
"Kim Crawford Sauvignon Blanc","Wine","COMPLETE","$12.00","$2.36","19.68%"
