"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Main Street Pub - Glen Ellyn","Founders Easy Drinking Beer","Complete","Draft Beer","Recipe","1.04838709677553","23.297491039456222","0","0","4.5","100","76.70250896054378","1.04838709677553","23.3","04/04/2026 18:56:12","","","","","","1","each","1.04838709677553"
"Main Street Pub - Glen Ellyn","Bells Oberon Light","Complete","Draft Beer","Recipe","1.58064516129233","26.344086021538832","0","0","6","100","73.65591397846116","1.58064516129233","26.34","04/04/2026 18:55:17","","","","","","1","each","1.58064516129233"
"Main Street Pub - Glen Ellyn","Garage Beer Classic Lime","Complete","Draft Beer","Recipe","1.08173076923215","24.03846153849222","0","0","4.5","100","75.96153846150777","1.08173076923215","24.04","04/04/2026 18:52:54","","","","","","1","each","1.08173076923215"
"Main Street Pub - Glen Ellyn","Half Acre Reef Knot ","Complete","Draft Beer","Recipe","1.58064516129233","24.317617866035846","0","0","6.5","100","75.68238213396415","1.58064516129233","24.32","04/04/2026 18:52:00","","","","","","1","each","1.58064516129233"
"Main Street Pub - Glen Ellyn","Blind Corner Low Orbit Silence","Complete","Draft Beer","Recipe","1.87500000000239","25.000000000031868","0","0","7.5","100","74.99999999996814","1.87500000000239","25","04/04/2026 18:50:31","","","","","","1","each","1.87500000000239"
"Main Street Pub - Glen Ellyn","Goose Island 312","Complete","Draft Beer","Recipe","1.57258064516329","26.209677419388168","0","0","6","100","73.79032258061183","1.57258064516329","26.21","04/04/2026 18:50:06","","","","","","1","each","1.57258064516329"
"Main Street Pub - Glen Ellyn","Modelo Draft ","Complete","Draft Beer","Recipe","1.55284831846457","23.889974130224154","0","0","6.5","100","76.11002586977584","1.55284831846457","23.89","04/04/2026 00:07:38","","","","","","1","each","1.55284831846457"
"Main Street Pub - Glen Ellyn","Cobb Salad","Complete","Salads","Recipe","3.098736631944444","17.215203510802468","0","0","18","100","82.78479648919753","3.098736631944444","17.22","04/01/2026 16:25:50","","","","","","1","","3.098736631944444"
"Main Street Pub - Glen Ellyn","Onion Rings","Complete","Appetizers","Recipe","0.3153602928316886","2.866911753015351","0","0","11","100","97.13308824698466","0.3153602928316886","2.87","04/01/2026 16:25:00","","","","","","1","each","0.3153602928316886"
"Main Street Pub - Glen Ellyn","93 Octane Out Cold","Complete","Draft Beer","Recipe","1.6129032258085","40.322580645212504","0","0","4","100","59.677419354787496","1.6129032258085","40.32","03/29/2026 19:38:57","","","","","","1","each","1.6129032258085"
"Main Street Pub - Glen Ellyn","Don Julio Reposado","Complete","Liquor ","Recipe","2.81934315162859","46.989052527143166","0","0","6","100","53.01094747285683","2.81934315162859","46.99","03/29/2026 18:36:10","","","","","","1.5","fl oz","1.8795621010857266"
"Main Street Pub - Glen Ellyn","Alter Mosaic Motive","Complete","Draft Beer","Recipe","1.49193548387287","22.952853598044154","0","0","6.5","100","77.04714640195583","1.49193548387287","22.95","03/28/2026 05:01:02","","","","","","1","each","1.49193548387287"
"Main Street Pub - Glen Ellyn","Half Acre Slow Melt","Complete","Draft Beer","Recipe","1.60483870967946","22.926267281135143","0","0","7","100","77.07373271886485","1.60483870967946","22.93","03/27/2026 17:30:15","","","","","","1","each","1.60483870967946"
"Main Street Pub - Glen Ellyn","Alaskan Amber","Complete","Draft Beer","Recipe","1.49193548387287","21.313364055326716","0","0","7","100","78.68663594467328","1.49193548387287","21.31","03/27/2026 17:28:38","","","","","","1","each","1.49193548387287"
"Main Street Pub - Glen Ellyn","Church Street Righteous Red","Complete","Draft Beer","Recipe","1.5564516129052","22.235023041502856","0","0","7","100","77.76497695849714","1.5564516129052","22.24","03/27/2026 17:27:46","","","","","","1","each","1.5564516129052"
"Main Street Pub - Glen Ellyn","Church Street Lil Lucy","Complete","Draft Beer","Recipe","1.69354838709893","21.169354838736627","0","0","8","100","78.83064516126336","1.69354838709893","21.17","03/27/2026 17:26:43","","","","","","1","each","1.69354838709893"
"Main Street Pub - Glen Ellyn","3 Floyd's Turbo Reaper","Complete","Draft Beer","Recipe","1.58064516129233","22.580645161318998","0","0","7","100","77.419354838681","1.58064516129233","22.58","03/27/2026 17:26:06","","","","","","1","each","1.58064516129233"
"Main Street Pub - Glen Ellyn","Ciderboys Cherry Limeade","Complete","Draft Beer","Recipe","1.4032258064534","23.387096774223334","0","0","6","100","76.61290322577666","1.4032258064534","23.39","03/27/2026 17:25:24","","","","","","1","each","1.4032258064534"
"Main Street Pub - Glen Ellyn","Alter Ambigram","Complete","Draft Beer","Recipe","1.60483870967946","22.926267281135143","0","0","7","100","77.07373271886485","1.60483870967946","22.93","03/22/2026 20:20:27","","","","","","1","each","1.60483870967946"
"Main Street Pub - Glen Ellyn","Kona Big Wave","Complete","Draft Beer","Recipe","1.45096703816198","24.18278396936633","0","0","6","100","75.81721603063367","1.45096703816198","24.18","03/22/2026 20:19:23","","","","","","1","each","1.45096703816198"
"Main Street Pub - Glen Ellyn","$5 Modelo","Complete","Draft Beer","Recipe","1.55284831846457","31.0569663692914","0","0","5","100","68.9430336307086","1.55284831846457","31.06","03/19/2026 18:22:27","","","","","","1","each","1.55284831846457"
"Main Street Pub - Glen Ellyn","Slam Dunk Sampler","Complete","Appetizers","Recipe","3.86626072952264","20.348740681698104","0","0","19","100","79.6512593183019","3.86626072952264","20.35","03/19/2026 01:39:37","","","","","","1","each","3.86626072952264"
"Main Street Pub - Glen Ellyn","Overtime Nachos","Complete","Appetizers","Recipe","4.908155151496362","35.05825108211687","0","0","14","100","64.94174891788312","4.908155151496362","35.06","03/19/2026 01:36:13","","","","","","1","each","4.908155151496362"
"Main Street Pub - Glen Ellyn","Cecillio's Cheese Sauce","Complete","Sauces - Warm","PrepRecipe","1.584086486235381","0","0","0","0","100","0","1.584086486235381","0","03/18/2026 22:42:24","","","","","","1","","1.584086486235381"
"Main Street Pub - Glen Ellyn","Pico de Gallo ","Complete","Sauces - Cold","PrepRecipe","8.943071279761904","0","0","0","0","100","0","8.943071279761904","0","03/18/2026 22:38:25","3","Days","1","quart","","1","","8.943071279761904"
"Main Street Pub - Glen Ellyn","Generations Pretzel City Amber ","Complete","Draft Beer","Recipe","1.49193548387287","29.8387096774574","0","0","5","100","70.1612903225426","1.49193548387287","29.84","03/18/2026 16:10:14","","","","","","1","each","1.49193548387287"
"Main Street Pub - Glen Ellyn","Southside Gin Seltzer","Complete","Bottle Beer","Recipe","3","33.33333333333333","0","0","9","100","66.66666666666666","3","33.33","03/17/2026 00:30:16","","","","","","1","each","3"
"Main Street Pub - Glen Ellyn","Goose Island Full Pocket Pils","Complete","Draft Beer","Recipe","1.64516129032467","27.419354838744496","0","0","6","100","72.5806451612555","1.64516129032467","27.42","03/17/2026 00:18:36","","","","","","1","each","1.64516129032467"
"Main Street Pub - Glen Ellyn","Point Amber Lager","Complete","Draft Beer","Recipe","0.887096774194676","17.74193548389352","0","0","5","100","82.25806451610647","0.887096774194676","17.74","03/14/2026 01:40:04","","","","","","1","","0.887096774194676"
"Main Street Pub - Glen Ellyn","Magners Cider","Complete","Draft Beer","Recipe","1.77419354838935","25.34562211984786","0","0","7","100","74.65437788015214","1.77419354838935","25.35","03/14/2026 00:29:17","","","","","","1","each","1.77419354838935"
"Main Street Pub - Glen Ellyn","Jameson and Ginger RTD","Complete","Bottle Beer","Recipe","2.42083333333333","26.89814814814811","0","0","9","100","73.10185185185189","2.42083333333333","26.9","03/14/2026 00:24:30","","","","","","1","each","2.42083333333333"
"Main Street Pub - Glen Ellyn","Pork Carnitas","Draft","Appetizers","Recipe","1.4349963747687284","0","0","0","0","100","0","1.4349963747687284","0","03/11/2026 17:29:35","","","","","","1","","1.4349963747687284"
"Main Street Pub - Glen Ellyn","Go Brewing Sunshine State Tropical Ipa Can","Complete","Bottle Beer","Recipe","1.53245192307887","20.432692307718266","0","0","7.5","100","79.56730769228173","1.53245192307887","20.43","03/11/2026 17:30:08","","","","","","1","each","1.53245192307887"
"Main Street Pub - Glen Ellyn","Shrimp Caesar Wrap","Complete","Wraps","Recipe","3.3590400252525248","19.759058972073674","0","0","17","100","80.24094102792631","3.3590400252525248","19.76","03/10/2026 21:17:26","","","","","","1","each","3.3590400252525248"
"Main Street Pub - Glen Ellyn","Chicken Pot Pie Soup","Complete","Soup","Recipe","1.492131684275397","0","0","0","0","100","0","1.492131684275397","0","03/10/2026 21:16:26","","","","","","1","each","1.492131684275397"
"Main Street Pub - Glen Ellyn","Michelob Ultra Draft","Complete","Draft Beer","Recipe","1.17647058823679","23.5294117647358","0","0","5","100","76.4705882352642","1.17647058823679","23.53","03/10/2026 21:13:31","","","","","","1","each","1.17647058823679"
"Main Street Pub - Glen Ellyn","Sapporo","Complete","Draft Beer","Recipe","1.25000000000159","0","0","0","0","100","0","1.25000000000159","0","03/10/2026 21:13:24","","","","","","1","each","1.25000000000159"
"Main Street Pub - Glen Ellyn","Founders Breakfast Stout","Complete","Draft Beer","Recipe","1.00554435483999","0","0","0","0","100","0","1.00554435483999","0","03/10/2026 21:13:00","","","","","","1","each","1.00554435483999"
"Main Street Pub - Glen Ellyn","Italian Pasta Salad","Complete","Sides","Recipe","1.4066528409090908","28.133056818181817","0","0","5","100","71.86694318181817","1.4066528409090908","28.13","03/10/2026 21:11:13","","","","","","1","each","1.4066528409090908"
"Main Street Pub - Glen Ellyn","French Dip Sandwich","Complete","Not Burgers","Recipe","4.415572623161662","24.530959017564786","0","0","18","100","75.4690409824352","4.415572623161662","24.53","03/10/2026 21:08:20","","","","","","1","each","4.415572623161662"
"Main Street Pub - Glen Ellyn","White Tea","Complete","Shots","Recipe","0.4460310924883794","0","0","0","0","100","0","0.4460310924883794","0","03/10/2026 20:59:43","","","","","","1","each","0.4460310924883794"
"Main Street Pub - Glen Ellyn","Guinness 0.0","Complete","Bottle Beer","Recipe","1.79166666666667","25.595238095238145","0","0","7","100","74.40476190476187","1.79166666666667","25.6","03/08/2026 18:22:34","","","","","","1","each","1.79166666666667"
"Main Street Pub - Glen Ellyn","Reuben Sandwich","Complete","Not Burgers","Recipe","2.841068017578239","16.71216480928376","0","0","17","100","83.28783519071624","2.841068017578239","16.71","03/07/2026 05:15:34","","","","","","1","each","2.841068017578239"
"Main Street Pub - Glen Ellyn","Brunch Bloody Mary","Complete","Cocktails","Recipe","0.729166666666666","12.152777777777766","0","0","6","100","87.84722222222223","0.729166666666666","12.15","03/07/2026 02:48:50","","","","","","1","each","0.729166666666666"
"Main Street Pub - Glen Ellyn","Bloody Mary","Complete","Cocktails","Recipe","0.729166666666666","8.333333333333325","0","0","8.75","100","91.66666666666667","0.729166666666666","8.33","03/07/2026 02:48:09","","","","","","1","each","0.729166666666666"
"Main Street Pub - Glen Ellyn","Fish and Chips ","Draft","Not Burgers","Recipe","4.765258928571428","25.080310150375933","0","0","19","100","74.91968984962408","4.765258928571428","25.08","03/07/2026 02:10:48","","","","","","1","each","4.765258928571428"
"Main Street Pub - Glen Ellyn","3 Floyd's Robert The Bruce","Complete","Draft Beer","Recipe","1.54032258064712","17.114695340523557","0","0","9","100","82.88530465947646","1.54032258064712","17.11","03/06/2026 23:37:17","","","","","","1","each","1.54032258064712"
"Main Street Pub - Glen Ellyn","93 Octane Turbo","Complete","Draft Beer","Recipe","1.6426282051303","25.27120315585077","0","0","6.5","100","74.72879684414923","1.6426282051303","25.27","03/04/2026 16:58:24","","","","","","1","each","1.6426282051303"
"Main Street Pub - Glen Ellyn","Irish Maid","Complete","Cocktails","Recipe","2.6368655071688547","20.283580824375804","0","0","13","100","79.7164191756242","2.6368655071688547","20.28","03/01/2026 22:14:07","","","","","","1","each","2.6368655071688547"
"Main Street Pub - Glen Ellyn","Irish Mule","Complete","Cocktails","Recipe","2.6083720263980266","20.064400203061744","0","0","13","100","79.93559979693826","2.6083720263980266","20.06","03/01/2026 22:13:25","","","","","","1","each","2.6083720263980266"
"Main Street Pub - Glen Ellyn","Irish Espresso Martini","Complete","Cocktails","Recipe","2.994218435480696","21.38727453914783","0","0","14","100","78.61272546085216","2.994218435480696","21.39","03/01/2026 22:12:43","","","","","","1","each","2.994218435480696"
"Main Street Pub - Glen Ellyn","Elvis Burger","Complete","Brunch","Recipe","3.4938771458297313","19.410428587942953","0","0","18","100","80.58957141205705","3.4938771458297313","19.41","03/01/2026 19:47:43","3","Days","","","","1","","3.4938771458297313"
"Main Street Pub - Glen Ellyn","Nutrl Blueberry","Complete","Bottle Beer","Recipe","1.75","25","0","0","7","100","75","1.75","25","02/18/2026 21:37:25","","","","","","1","each","1.75"
